id,lga_id,ward_id,name,t_reg
1000035 ,1 ,2000002 ,UNG. SAMBO II - K/G MAI UNG AND YARA,904 
1000036 ,1 ,2000002 ,BAKORI GARI 1 ? DISPENSARY 003,871 
1000037 ,1 ,2000002 ,ABARSHI - ABARSHI,838 
1000038 ,1 ,2000002 ,BAKORI GARI III - F.S.A. CLINIC  006,803 
1000039 ,1 ,2000002 ,YANLAMBU DANDALI  008,762 
1000040 ,1 ,2000002 ,ZAGE-ZAGI -PRI.SCH. ZAGE-ZAGI 001,712 
1000041 ,1 ,2000002 ,DANFULANI - DANFULANI K/G MAI.UNG,680 
1000042 ,1 ,2000002 ,ADAKO - K/G MAI UNG  009,670 
1000043 ,1 ,2000002 ,ZAGE-ZAGI ? VETINERY002,650 
1000044 ,1 ,2000002 ,BAKORI GARI III WATER BOARD OFFICE,413 
1000045 ,1 ,2000002 ,DR. HABIBU SANI PRI. SCH.,220 
1000046 ,1 ,2000002 ,BAKORI GARI III RAMALAN PRI. SCH.,179 
1000047 ,1 ,2000002 ,BAKORI GARI III RAMALAN PRI. SCH.,163 
1000048 ,1 ,2000002 ,UNG SANYI I RAMALAN ANNEX PRI SCH.,111 
1000049 ,1 ,2000002 ,YAR GOGGO PRI. SCH.,110 
1000050 ,1 ,2000002 ,UNG SAMBO I K/G MAI UNG,106 
1000051 ,1 ,2000002 ,BAKORI GARI II NEAR DISTRICT HEAD,97 
1000052 ,1 ,2000002 ,UNG YARO K/G MAI UNGUWA,86 
1000053 ,1 ,2000002 ,UNG SANYI II RAMALAN ANNEX PRI. SCH. (NEW II),82 
1000054 ,1 ,2000002 ,BAKORI GARI III YAR GOGGO PRI. SCH,70 
1000055 ,1 ,2000002 ,YAN LAMBU ASIBITI,69 
1000056 ,1 ,2000002 ,UNG SANYI II OPPOSITE MOTOR PARK (NEW),54 
1000057 ,1 ,2000002 ,BAKORI GARI IV FSA CLINIC (NEW),41 
1000058 ,1 ,2000002 ,BAKORI GARI DISPENSARY,38 
1000059 ,1 ,2000010 ,SAJO II PRI SCHOOL,1546 
1000060 ,1 ,2000010 ,KURAMI - PRI SCH.,1320 
1000061 ,1 ,2000010 ,SAJO III - K/G ALH. ALI,1277 
1000062 ,1 ,2000010 ,YANKWANI GARI I - K/G MAI GARI,1174 
1000063 ,1 ,2000010 ,SAJO I K/G MAI UNG,1103 
1000064 ,1 ,2000010 ,KURAMI GARI - T.V. CENTRE,1050 
1000065 ,1 ,2000010 ,"KARMA BA,AJO - K/G MAI UNG",1006 
1000066 ,1 ,2000010 ,YANKWANI GARI II PRI.SCH,958 
1000067 ,1 ,2000010 ,SAJO IV - K/G MAI UNG,890 
1000068 ,1 ,2000010 ,BELEN GADA - PRI SCHOOL,850 
1000069 ,1 ,2000010 ,RAFIN KANYA/UNG NAINO - K/G MAI UNG,814 
1000070 ,1 ,2000010 ,TARZANA - K/G MAI UNG,721 
1000071 ,1 ,2000010 ,KAFI AWO - K/G MAI UNG,709 
1000072 ,1 ,2000010 ,NABUKKA 1- PRI SCH.,655 
1000073 ,1 ,2000010 ,YANKWANI YAMMA - K/G MAI UNG,641 
1000074 ,1 ,2000010 ,LAYIN RAMA - K/G MAI UNG,619 
1000075 ,1 ,2000010 ,MASHANYA - K/G ALH. AMINU,579 
1000076 ,1 ,2000010 ,SARKIN FULANI BAKA - K/G MAI UNG,574 
1000077 ,1 ,2000010 ,MIJIN YAWA DANDI - K/G MAI UNG,551 
1000078 ,1 ,2000010 ,DANBAURE/UNG KURAMI - PRI SCHOOL,549 
1000079 ,1 ,2000010 ,YANKWANI MUMINI - PRI SCH,499 
1000080 ,1 ,2000010 ,GANJAR DANGOGGO - K/G MAI UNG,447 
1000081 ,1 ,2000010 ,MAKERA FULANI - K/G MAI UNG,447 
1000082 ,1 ,2000010 ,RINJI - K/G MAI UNG,441 
1000083 ,1 ,2000010 ,TSIGI - K/GMAI UNG,376 
1000084 ,1 ,2000010 ,DOKA - K/G MAI UNG,351 
1000085 ,1 ,2000010 ,NABUKKA II - K/G MAI UNG,350 
1000086 ,1 ,2000010 ,UNG. LADAN - K/G MAI UNG,307 
1000087 ,1 ,2000010 ,GIDAN YAU NA TURA - K/G MAI UNG,184 
1000088 ,1 ,2000010 ,DANMAYAKI PRI. SCH.,150 
1000089 ,1 ,2000010 ,SAJO I K/G MAI UNG (NEW),139 
1000090 ,1 ,2000010 ,YAN LEMO,129 
1000091 ,1 ,2000010 ,SAJO III K/G MAI GARIN DUTSEN REME,119 
1000092 ,1 ,2000010 ,HOUSING AUTHORITY OFFICE,115 
1000093 ,1 ,2000010 ,"KURAMI GARI I, UNG. TUMBAU",111 
1000094 ,1 ,2000010 ,KURAMI GARI I KURAMI PRI. SCH. (NEW),109 
1000095 ,1 ,2000010 ,YANKWANI GARI II COMMUNITY DAY,108 
1000096 ,1 ,2000010 ,SAJO II PRI SCH. (NEW I),92 
1000097 ,1 ,2000010 ,KURAMI GARI T.V CENTER (NEW),73 
1000098 ,1 ,2000010 ,SAJO II PRI SCH. (NEW II),69 
1000099 ,1 ,2000010 ,MAI KARI PRI. SCH.,53 
1000100 ,1 ,2000010 ,SAJO III K/G MAI GARIN,40 
1000101 ,1 ,2000010 ,YANKWANI GARI /IMAMU SCIENCE,9 
1000102 ,1 ,2000004 ,DANBATTA - TAMARKE,1679 
1000103 ,1 ,2000004 ,KADAN YAR BAUSHE - K/G MAI UNG.,920 
1000104 ,1 ,2000004 ,UNG YARI BASO - K/G YARI,853 
1000105 ,1 ,2000004 ,UNG WAZIRI - KANAWA PRI.SCH.,803 
1000106 ,1 ,2000004 ,UNG SHUDI - GIDAN SHUDI,647 
1000107 ,1 ,2000004 ,UNG WAZIRI - K/G MAI UNG,629 
1000108 ,1 ,2000004 ,GWAMUTSAWA - K/G MAI UNG,602 
1000109 ,1 ,2000004 ,RAFIN GORA II - UNG GABAS,546 
1000110 ,1 ,2000004 ,GIDAN NAKULUWA - K/G MAI UNG,534 
1000111 ,1 ,2000004 ,DAWAN MUSA GARI - MAI KWARI PRI.,519 
1000112 ,1 ,2000004 ,RAFIN GORA III - COMMUNITY CENTRE,508 
1000113 ,1 ,2000004 ,RAFIN GORA I - K/G MAI UNG,490 
1000114 ,1 ,2000004 ,UNG BAURE - UNG BAURE,341 
1000115 ,1 ,2000004 ,KWARIN DANBATTA PRI. SCH.,114 
1000116 ,1 ,2000004 ,UNG WAZIRI KANAWA PRI SCH. (NEW),71 
1000117 ,1 ,2000004 ,KADANYAR BAUSHE ASIBITI,69 
1000118 ,1 ,2000004 ,TAMARKE PRI. SCH.,63 
1000119 ,1 ,2000004 ,UNG YARI BASO PRI. SCH.,6 
1000120 ,1 ,2000004 ,KATOGE GINDIN MADACI,1 
1000121 ,1 ,2000011 ,TSIGA YAMMA - PRI. SCH.,1199 
1000122 ,1 ,2000011 ,MAKURDI FULANI NOMADIC PRI.,1154 
1000123 ,1 ,2000011 ,TSIGA TSAKIYA K/G MAL. YUNUSA,1102 
1000124 ,1 ,2000011 ,MAKURDI HANYA II MAIN ROAD,1071 
1000125 ,1 ,2000011 ,MAKURDI HANYA I - K/G MAI UNG,1023 
1000126 ,1 ,2000011 ,TSIGA KUDU - K/G ALH. UMMARU,953 
1000127 ,1 ,2000011 ,BABBAN KUFAI - PRI. SCHOOL,754 
1000128 ,1 ,2000011 ,KWANAR AGWAGWA - K/G AGWAGWA,738 
1000129 ,1 ,2000011 ,UNG MAZADU - K/G MAL. INUSA,738 
1000130 ,1 ,2000011 ,ZAGE-ZAGI - PRI SCHOOL,734 
1000131 ,1 ,2000011 ,MAITAKOBI - PRI SCH.,706 
1000132 ,1 ,2000011 ,TSIGA GUBAS K/G. LITIN WAZIRI,689 
1000133 ,1 ,2000011 ,WARDANGA - PRI SCHOOL,621 
1000134 ,1 ,2000011 ,YARGAUTA - PRI SCHOOL,494 
1000135 ,1 ,2000011 ,UJI A - K/G MAI UNG,427 
1000136 ,1 ,2000011 ,MAITAKOBI PRIMARY SCH. (NEW),179 
1000137 ,1 ,2000011 ,HAYIN MAI NINGI PRI. SCH.,131 
1000138 ,1 ,2000011 ,MAKURDIN FULANI NOMADIC PRI. SCH.,115 
1000139 ,1 ,2000011 ,GIDAN MAHADI (NEW),82 
1000140 ,1 ,2000011 ,TSIGA FAMILY SUPPORT CENTRE (NEW),79 
1000141 ,1 ,2000011 ,TSIGA B. PRIMARY SCH. (NEW),77 
1000142 ,1 ,2000011 ,TSIGA YAMMA PRI. SCH. (NEW),49 
1000143 ,1 ,2000011 ,MAKURDIN HANYA I K/G MAI UNG (NEW),10 
1000144 ,1 ,2000007 ,KABOMO GARI I - PRI. SCHOOL,1526 
1000145 ,1 ,2000007 ,UNG. MAI GYADA K/G MAI UNG,1026 
1000146 ,1 ,2000007 ,"UNG SA,ADU I PRI. SCHOOL",1023 
1000147 ,1 ,2000007 ,KABOMO GARI II - SARARIN LAYI,741 
1000148 ,1 ,2000007 ,KOFAR FADA - T.V. CENTRE,733 
1000149 ,1 ,2000007 ,GAZARA - PRI SCHOOL,721 
1000150 ,1 ,2000007 ,LAYIN KUKA - PRI SCHOOL,693 
1000151 ,1 ,2000007 ,KOFAR FADA II - BAKIN FADA,627 
1000152 ,1 ,2000007 ,UNG MADAWAKI - K/G MAI UNG,550 
1000153 ,1 ,2000007 ,"UNG. SAADU II, - GINDIN MANGWARO",525 
1000154 ,1 ,2000007 ,GAZARA GANJAR - GINDIN CEDIYA,524 
1000155 ,1 ,2000007 ,UNG MAI GYADA II - DANFILI,478 
1000156 ,1 ,2000007 ,KUKA - UNG KUKA,445 
1000157 ,1 ,2000007 ,HAYIN LIMAN COMMUNITY CLINIC,269 
1000158 ,1 ,2000007 ,LAYIN GORA,203 
1000159 ,1 ,2000007 ,MADARASATUL JANNATUL MA'AWA ISLAMIYYA,163 
1000160 ,1 ,2000007 ,UNG. MAI GYADA GINDIN LEMO K/G SHUAIBU DRIVER,46 
1000161 ,1 ,2000003 ,BARDE - BARDE PRI. SCHOOL,1073 
1000162 ,1 ,2000003 ,UNG KAWO - K/G MAI UNG,863 
1000163 ,1 ,2000003 ,UNG JALATU - K/G MAI UNG,862 
1000164 ,1 ,2000003 ,RAFIN KARO - GINDIN CEDIYA,726 
1000165 ,1 ,2000003 ,UNG YAMMA II K/G MAI GARI,708 
1000166 ,1 ,2000003 ,TUDUN WADA - YAR YARA UNDER TREE,675 
1000167 ,1 ,2000003 ,UNG TANGA - K/G MAI UNG,673 
1000168 ,1 ,2000003 ,ZANGON MARKE - K/G MAI UNG,646 
1000169 ,1 ,2000003 ,GIDAN DODO - K/G MAI UNG,638 
1000170 ,1 ,2000003 ,UNG YAMMA 1 T.V. CENTRE,608 
1000171 ,1 ,2000003 ,UNG KWANKI - BAKIN KANTIN ALH.RIGA,597 
1000172 ,1 ,2000003 ,LAYIN MAHAUTA - K/G ALH.NUHU,595 
1000173 ,1 ,2000003 ,GIDAN MAIKAFI - DISPENSARY,561 
1000174 ,1 ,2000003 ,GIDAN MADUGU - K/G MAI UNG,525 
1000175 ,1 ,2000003 ,UNG AMFANI - KANTIN MAL. YAHAYA,472 
1000176 ,1 ,2000003 ,GIDAN BAKORI - NEAR ISLAMIYA PRI.,448 
1000177 ,1 ,2000003 ,UNG DAMBIRI - K/G MAI UNG,423 
1000178 ,1 ,2000003 ,UNG MAKAU - GINDIN RUNFA,410 
1000179 ,1 ,2000003 ,GOBIRAWA - NEAR MOSQUE,332 
1000180 ,1 ,2000003 ,BARDE - BARDE PRI. SCH. (NEW),86 
1000181 ,1 ,2000003 ,GIGO UNG KAWO,67 
1000182 ,1 ,2000003 ,UNG JALATU PRI. SCH.,45 
1000183 ,1 ,2000006 ,MAKURDI I K/G ALH.SULE,846 
1000184 ,1 ,2000006 ,JARGABA KUDU K/G ALI DUTSI,812 
1000185 ,1 ,2000006 ,JARGABA AREWA - K/G LAWAL NA LAKO,793 
1000186 ,1 ,2000006 ,JARGABA TSAKIYA K/G MAL. MATI,783 
1000187 ,1 ,2000006 ,MAKURDI II - K/G MAI UNG,753 
1000188 ,1 ,2000006 ,UNG NOMA - K/G ALH.GARBA,747 
1000189 ,1 ,2000006 ,SHUWAKI I PRI. SCH.,746 
1000190 ,1 ,2000006 ,UNG DOGO 1 - K/G MAI UNG,632 
1000191 ,1 ,2000006 ,DANGANA GARI - K/G MAI UNG,628 
1000192 ,1 ,2000006 ,DANGANA KAWARI - K/G DAHIRU,609 
1000193 ,1 ,2000006 ,SHUWAKI II PRI. SCH.,603 
1000194 ,1 ,2000006 ,UNG DOGO II - K/G MAI GARI,402 
1000195 ,1 ,2000006 ,MARKUDI 'A' K/G ALH SULE (PRI. SCH.),56 
1000196 ,1 ,2000006 ,MAKRUDI 'A' K/G ALH SULE (PRI. SCH. ),33 
1000197 ,1 ,2000008 ,ZAMFARAWA - K/G MAI UNG.,645 
1000198 ,1 ,2000008 ,UNG. LIMAN RAYYA II- MAI UNG,550 
1000199 ,1 ,2000008 ,UNG. LIMAN RAYYA I - K/G MAI UNG,617 
1000200 ,1 ,2000008 ,NA SAMBO - K/G MAI UNG,531 
1000201 ,1 ,2000008 ,NA ALHAJI - K/G MAI UNG,645 
1000202 ,1 ,2000008 ,MUKADDAS II - K/G MAI UNG,465 
1000203 ,1 ,2000008 ,MUKADDAS I K/G MAI UNG,448 
1000204 ,1 ,2000008 ,MAKERA - K/G MAI UNG,475 
1000205 ,1 ,2000008 ,MAKARANTA PRI SCHOOL,645 
1000206 ,1 ,2000008 ,KOSHE II - K/G MAI UNG,426 
1000207 ,1 ,2000008 ,KOSHE 1-K/G MAI UNG,395 
1000208 ,1 ,2000008 ,KOFAR FADA - T.V. CENTRE,718 
1000209 ,1 ,2000008 ,DUNHUI - PRI SCHOOL.,460 
1000210 ,1 ,2000008 ,DANWAILA - K/G MAI UNG,455 
1000211 ,1 ,2000008 ,DANGUZA PRI SCHOOL,600 
1000212 ,1 ,2000008 ,DANGUZA PRI SCHOOL,447 
1000213 ,1 ,2000008 ,DANDAUDU K/G MAI UNG,428 
1000214 ,1 ,2000005 ,GUGA GARI II - GUGA DISPENSARY,897 
1000215 ,1 ,2000005 ,GUGA GARI III - K/G SARIN FAWA,809 
1000216 ,1 ,2000005 ,DANJABA I - K/G MAI UNG. NA DOMA,758 
1000217 ,1 ,2000005 ,HADO I MAI GOJE PRI SCHOOL,733 
1000218 ,1 ,2000005 ,GUGA GARI I - MODEL PRI. SCHOOL,730 
1000219 ,1 ,2000005 ,MAGOJE - K/G ALH.ADAMU BAIYE,578 
1000220 ,1 ,2000005 ,DANJABA II - K/G ALH. AIYO YANSHUNI,539 
1000221 ,1 ,2000005 ,UNG UMMARU - K/G BELLO DANBARAU,502 
1000222 ,1 ,2000005 ,DANJABA III - DANJABA JUNCTION,500 
1000223 ,1 ,2000005 ,RUNJI - K/G MAI UNG,456 
1000224 ,1 ,2000005 ,HADO II - K/G MAI BAKA,440 
1000225 ,1 ,2000005 ,UNG TAURA - K/G SAMBO KAILO,424 
1000226 ,1 ,2000005 ,GALADIMA K/G DANKWARI,344 
1000227 ,1 ,2000005 ,GUGA GARI III K/G DOGON DRIVER,64 
1000228 ,1 ,2000005 ,MADARASATU HIZBURRAHIM ISLAMIYYA MAGOJE MAI KADANYA K/G IDRIS,6 
1000229 ,1 ,2000009 ,MAIYADIYA I K/G MAI GARI,942 
1000230 ,1 ,2000009 ,UNG UMMARU II - PRI SCHOOL,730 
1000231 ,1 ,2000009 ,BALBELU - K/G MAI UNG.,679 
1000232 ,1 ,2000009 ,MAIYADIYA III - YAR YARA,673 
1000233 ,1 ,2000009 ,UNG UMMARU I K/G WAKILIN MAIGARI,666 
1000234 ,1 ,2000009 ,KANDARAWA - PRI SCHOOL,629 
1000235 ,1 ,2000009 ,UNG UMMARU III PRI. SCHOOL,626 
1000236 ,1 ,2000009 ,KANDARAWA II K/G MAI GARI.,614 
1000237 ,1 ,2000009 ,UNG TANKO / PRY. SCH/,579 
1000238 ,1 ,2000009 ,MAIYADIYA II K/G MAI GARI,573 
1000239 ,1 ,2000009 ,DANJAGALE - K/G MAI GARI,530 
1000240 ,1 ,2000009 ,ALABIRA - K/G MAI UNG,483 
1000241 ,1 ,2000009 ,GIDAN KANAWA HEALTH POST,77 
1000242 ,2 ,2000015 ,BATAGARAWA PRI. SCHOOL,1688 
1000243 ,2 ,2000015 ,BAT. LOW COAST - PRI. SCHOOL,1688 
1000244 ,2 ,2000015 ,POLY - POLY,1166 
1000245 ,2 ,2000015 ,BAT. DIISPENSARY ? DISPENSARY,1046 
1000246 ,2 ,2000015 ,BAT F.C.E - FED COL. EDU. I,897 
1000247 ,2 ,2000015 ,KAWO - KAWO OPEN SPACES,885 
1000248 ,2 ,2000015 ,MARNA ZANNABU - MARNA ZANNABU,873 
1000249 ,2 ,2000015 ,BORAGUNDURA -BORAGUNDURA,852 
1000250 ,2 ,2000015 ,FAGE - FAGE OPEN SPACE,789 
1000251 ,2 ,2000015 ,BATAGARAWA LOW COST PRI. SCHOOL.,767 
1000252 ,2 ,2000015 ,BAGANZAMAWA - BAGANZAMAWA OPEN SPACE,714 
1000253 ,2 ,2000015 ,BATAGARAWA TOWN DISPENSARY,714 
1000254 ,2 ,2000015 ,BUSSAU - BUSSAU PRI. SCHOOL,692 
1000255 ,2 ,2000015 ,FED. COL. OF EDU. II,683 
1000256 ,2 ,2000015 ,AUTAWA GARI OPEN SPACE,561 
1000257 ,2 ,2000015 ,DUGAZAWA/ALKALAWA UNG. RINJI OPEN SPACE,550 
1000258 ,2 ,2000015 ,DUGAZAWA - DUGAZAWA OPEN SPACE,470 
1000259 ,2 ,2000015 ,BORA GUNDDARA BORA GUNDARA OPEN SPACE,438 
1000260 ,2 ,2000015 ,YANDADI YANDADI OPEN SPACE,256 
1000261 ,2 ,2000015 ,BATAGARAWA DISP. 'B',241 
1000262 ,2 ,2000015 ,UWANTA DAGORA KWANTA D.G. OPEN SPACE,231 
1000263 ,2 ,2000015 ,BATAGARAWA PRI. SCH. 'C',202 
1000264 ,2 ,2000015 ,BATAGARAWA LOW COST PRI. SCH. 'C',153 
1000265 ,2 ,2000015 ,SARDAUNA HOUSING EST. OLD JUMA'AT MOSQUE,108 
1000266 ,2 ,2000015 ,KAWO - KAWO PRI. SCH. 'B',78 
1000267 ,2 ,2000015 ,BATAGARAWA PRI. SCH. 'B',60 
1000268 ,2 ,2000015 ,BATAGARAWA LOW COST PRI. SCH. 'B',55 
1000269 ,2 ,2000015 ,BARMANI CHOGE QUARTERS PRI. SCH.,46 
1000270 ,2 ,2000015 ,BATAGARAWA LOW COST PRI. SCH. 'B',38 
1000271 ,2 ,2000016 ,DABAIBAYAWA PRI. SCHOOL,1307 
1000272 ,2 ,2000016 ,KAUYEN YAMMA -K/YAMMA OPEN SPACE,1024 
1000273 ,2 ,2000016 ,BADO NORTH PRI. SCHOOL,855 
1000274 ,2 ,2000016 ,MAKADA,683 
1000275 ,2 ,2000016 ,MAKADA - MAKADA OPEN SPACE,655 
1000276 ,2 ,2000016 ,DABAIBAYAWA GABAS - D/GABAS OPEN SPACE,552 
1000277 ,2 ,2000016 ,KAMFATAU - KAMFATAU OPEN SPACE,525 
1000278 ,2 ,2000016 ,JILAWAR ANGO PRI. SCH.,523 
1000279 ,2 ,2000016 ,DABAIBAYAWA SOUTH - K/G. MAI UNGUWA,498 
1000280 ,2 ,2000016 ,GWAMMA TAWA GARI,485 
1000281 ,2 ,2000016 ,JILAWAR ANGO PRI. SCH.,415 
1000282 ,2 ,2000016 ,BADO DISPENSARY,87 
1000283 ,2 ,2000016 ,KAUYEN YAMMA BEHIND DISPENSARY,57 
1000284 ,2 ,2000016 ,DABAIBAYAWA DISPENSARY,38 
1000286 ,2 ,2000017 ,DANDAGORO S/G DANDAGORO,2024 
1000287 ,2 ,2000017 ,TURAWA - MODEL PRI. SCHOOL,1563 
1000288 ,2 ,2000017 ,INWALA ? INWALA,1319 
1000289 ,2 ,2000017 ,KAFFI - BEHIND DANDAGORO,1285 
1000290 ,2 ,2000017 ,TSUNTSUWA - TSUNTSUWA,1250 
1000291 ,2 ,2000017 ,TSUNTSUWA - TSUNTSUWA,887 
1000292 ,2 ,2000017 ,MAKAURACHI - MAUKARACHI,847 
1000293 ,2 ,2000017 ,KABUKAWA - KABUKAWA,772 
1000294 ,2 ,2000017 ,MAKURDI - PRI. SCHOOL,769 
1000295 ,2 ,2000017 ,KATARDA - KATARDA,757 
1000296 ,2 ,2000017 ,KAUKAI - KAUKAI,727 
1000297 ,2 ,2000017 ,MORAWA - MORAWA,727 
1000298 ,2 ,2000017 ,KABAKAWA S/ GARI - KABAKAWA,705 
1000299 ,2 ,2000017 ,TIGIRMIS - TIGIRMIS,688 
1000300 ,2 ,2000017 ,YAR HAKA - YAR HAKA,637 
1000301 ,2 ,2000017 ,YAN NAIRA - PRI. SCHOOL,618 
1000302 ,2 ,2000017 ,KAFFI ?B? DANDAGORO ?B? DANDAGORO MOSQUE K/G SADA AMADI,510 
1000304 ,2 ,2000017 ,RUGAR DILA - RUGAR DILA,411 
1000305 ,2 ,2000017 ,DOKA,331 
1000306 ,2 ,2000017 ,KAFFI ?C? DANDAGORO ?C? B/DANDAGORO K/G MAIKUDI,255 
1000308 ,2 ,2000017 ,INWALA 'B' K/GIDAN M/UNG. DANJUME,148 
1000309 ,2 ,2000017 ,TURAWA MODEL PRI. SCH. ?C?,116 
1000310 ,2 ,2000017 ,"BAYAN LIYAFA, K/G MAI UNG. SHAHADAOPEN SPACE",101 
1000311 ,2 ,2000017 ,DANDAGORO C/GARI OPP. JUMA?AT MOSQUE,88 
1000312 ,2 ,2000017 ,DANDAGORO S/G DANDAGORO ?D?,86 
1000313 ,2 ,2000017 ,DANDAGORO S/G DANDAGORO ?C?,76 
1000314 ,2 ,2000017 ,TURAWA MODEL PRI. SCH. ?B?,71 
1000315 ,2 ,2000017 ,DANDAGORO S/G DANDAGORO ?B?,69 
1000316 ,2 ,2000017 ,MAKAURACHI ? MAKAURACHI ?B?,52 
1000317 ,2 ,2000017 ,TSUNTSUWA - TSUNTSUWA HEALTH CLINIC,14 
1000319 ,2 ,2000012 ,BARHIN MASAKAS- BARHIN MASAKA,844 
1000320 ,2 ,2000012 ,AJIWA U/BATURE U-BATURE,775 
1000321 ,2 ,2000012 ,UNG GARBAS- UNG GARBAS,774 
1000322 ,2 ,2000012 ,BARHIN TUDU - BARHIN TUDU,738 
1000323 ,2 ,2000012 ,BARHIN SHAISKAWA - BARHIN SHAISKAWA,723 
1000325 ,2 ,2000012 ,SHAGUMBA - SHAGUMBA,716 
1000326 ,2 ,2000012 ,YAR RAKUMMA - YAR RAKUMMA,629 
1000327 ,2 ,2000012 ,SABON GARIN NAIRA - SABON GARIN NAIRA,619 
1000329 ,2 ,2000012 ,KURTUFA - GIDAN MAI UNGUWA,608 
1000330 ,2 ,2000012 ,AJIWA GARI - AJIWA GARI,576 
1000331 ,2 ,2000012 ,AJIWA KURTUFA - AJIWA KURTUFA,572 
1000332 ,2 ,2000012 ,AJIWA - AJIWA GARI OPEN SPACE,542 
1000333 ,2 ,2000012 ,BARHIN B/GIDA - BARHIN B/GIDA,507 
1000334 ,2 ,2000012 ,MAJEN AUDU - MAJE,433 
1000335 ,2 ,2000012 ,BANI IZA - BEHIND M/UNGUWA,430 
1000336 ,2 ,2000012 ,AJIWA SHAGUMBA - CIKIN GARI,428 
1000337 ,2 ,2000012 ,SHAGUMBA - SHAGUMBA OPEN SPACE,413 
1000338 ,2 ,2000012 ,MAJEN AUDU GARI MAJE GARI,400 
1000339 ,2 ,2000012 ,BANI IZA GARI - BANI IZA GARI,391 
1000340 ,2 ,2000012 ,MAKERA - GIDAN TAKI,384 
1000341 ,2 ,2000012 ,SHAIRI - SHAIRI,368 
1000342 ,2 ,2000012 ,AJIWA SHANTAU - UNG. LIMAN,367 
1000343 ,2 ,2000012 ,SHANTALI- SHANTALI,354 
1000344 ,2 ,2000012 ,MAKERA UNGUWAR LINGU MAKERA,345 
1000345 ,2 ,2000012 ,BARHIM HOUSING ESTATE PRI. SCH.,180 
1000348 ,2 ,2000020 ,TSANNI NORTH - TSANNI NORTH,1150 
1000349 ,2 ,2000020 ,TSANNI- TSANNI,982 
1000350 ,2 ,2000020 ,KOFAR FADA - KOFAR FADA,931 
1000351 ,2 ,2000020 ,RAHAJE - RAHAJE,906 
1000352 ,2 ,2000020 ,YARBARZA - YARBARZA,761 
1000353 ,2 ,2000020 ,MAI LALLE - MAI LALLE,715 
1000354 ,2 ,2000020 ,RUGOJI - RUGOJI,686 
1000355 ,2 ,2000020 ,KUNDU WAJE - KUNDU WAJE,321 
1000356 ,2 ,2000020 ,ALALE - ALALE,282 
